17:02:30.450 | Info | '/product/details' | 
17:03:17.327 | Info | '/user/details' | 
17:03:17.338 | Info | '/product/details' | 
17:04:14.761 | Info | '/user/details' | 
17:04:16.147 | Info | '/product/details' | 
17:08:19.527 | Info | '/user/details' | 
17:08:19.542 | Info | '/product/details' | 
17:08:41.089 | Info | '/user/details' | 
17:08:41.101 | Info | '/product/details' | 
17:08:53.012 | Info | '/user/details' | 
17:08:53.023 | Info | '/product/details' | 
17:14:41.087 | Info | '/user/details' | 
17:14:42.089 | Info | '/product/details' | 
17:14:45.597 | Info | '/user/details' | 
17:14:45.617 | Info | '/product/details' | 
17:15:14.387 | Info | '/user/details' | 
17:15:14.408 | Info | '/product/details' | 
17:15:18.970 | Info | '/user/details' | 
17:15:18.987 | Info | '/product/details' | 
17:15:36.589 | Info | '/user/details' | 
17:15:36.604 | Info | '/product/details' | 
17:15:46.744 | Info | '/user/details' | 
17:15:46.764 | Info | '/product/details' | 
17:18:09.928 | Info | '/user/details' | 
17:18:09.953 | Info | '/product/details' | 
17:20:30.904 | Info | '/user/details' | 
17:20:32.460 | Info | '/product/details' | 
17:21:18.038 | Info | '/user/details' | 
17:21:19.344 | Info | '/product/details' | 
17:22:32.096 | Info | '/user/details' | 
17:22:32.104 | Info | '/product/details' | 
17:23:31.099 | Info | '/user/details' | 
17:23:31.117 | Info | '/product/details' | 
17:24:26.347 | Info | '/user/details' | 
17:24:26.363 | Info | '/product/details' | 
17:39:28.667 | Info | '/user/details' | 
17:39:28.692 | Info | '/product/details' | 
17:41:30.590 | Info | '/user/details' | 
17:41:30.632 | Info | '/product/details' | 
17:42:22.864 | Info | '/user/details' | 
17:42:22.893 | Info | '/product/details' | 
17:43:11.837 | Info | '/user/details' | 
17:43:11.865 | Info | '/product/details' | 
17:43:27.967 | Info | '/user/details' | 
17:43:28.004 | Info | '/product/details' | 
17:43:50.161 | Info | '/user/details' | 
17:43:50.189 | Info | '/product/details' | 
17:44:15.305 | Info | '/user/details' | 
17:44:15.360 | Info | '/product/details' | 
17:45:00.533 | Info | '/user/details' | 
17:45:00.565 | Info | '/product/details' | 
17:45:24.893 | Info | '/user/details' | 
17:45:24.925 | Info | '/product/details' | 
17:49:00.236 | Info | '/user/details' | 
17:49:00.259 | Info | '/product/details' | 
17:59:58.546 | Info | '/user/details' | 
17:59:58.584 | Info | '/product/details' | 
